N,T,s,w,seed,extinction_time,edge_contact,late_distance_mean,final_R,final_P
150,30000,0.8,0.1,0,24041,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,1,24715,1,0.5079767009218425,0.7533333333333333,0.24666666666666667
150,30000,0.8,0.1,2,11857,1,0.35404345929271,0.0,0.44666666666666666
150,30000,0.8,0.1,3,30001,0,0.3093508916581975,0.26666666666666666,0.58
150,30000,0.8,0.1,4,3042,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,5,4779,1,0.45599780636905196,0.0,0.0
150,30000,0.8,0.1,6,14981,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,7,7622,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,8,14479,1,0.6343853905109007,0.0,1.0
150,30000,0.8,0.1,9,4021,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,10,5643,1,0.29235588888894004,0.6733333333333333,0.32666666666666666
150,30000,0.8,0.1,11,5743,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,12,10516,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,13,17296,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,14,3868,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,15,4622,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.1,16,10875,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.1,17,4464,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.1,18,15818,1,0.6647550941709276,0.9466666666666667,0.0
150,30000,0.8,0.1,19,6308,1,0.39039811769273436,0.0,0.013333333333333334
150,30000,0.8,0.5,0,7282,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,1,13001,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,2,8513,1,0.6335515858053705,0.0,1.0
150,30000,0.8,0.5,3,9765,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,4,16294,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,5,6170,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,6,29479,1,0.5133623237518341,0.0,0.5933333333333334
150,30000,0.8,0.5,7,10947,1,0.7369839806828244,0.0,1.0
150,30000,0.8,0.5,8,8881,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,9,11116,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,10,9746,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,11,11886,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,12,4743,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,13,5601,1,0.4220096068114144,0.0,0.08666666666666667
150,30000,0.8,0.5,14,14840,1,0.37251125620754877,0.0,0.28
150,30000,0.8,0.5,15,15252,1,0.7453559924999239,1.0,0.0
150,30000,0.8,0.5,16,25699,1,0.3666490673250172,0.0,0.24666666666666667
150,30000,0.8,0.5,17,11273,1,0.7453559924999239,0.0,1.0
150,30000,0.8,0.5,18,13798,1,0.4714045207910316,0.0,0.0
150,30000,0.8,0.5,19,15469,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,0,5902,1,0.4714045207910316,0.0,0.0
150,30000,0.8,1.0,1,14462,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,2,25131,1,0.4037471085321382,0.8,0.0
150,30000,0.8,1.0,3,17435,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,4,16931,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,5,16765,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,6,10766,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,7,30001,0,0.12311940102807593,0.38666666666666666,0.14
150,30000,0.8,1.0,8,9371,1,0.4714045207910316,0.0,0.0
150,30000,0.8,1.0,9,30001,0,0.18644888915693228,0.46,0.12
150,30000,0.8,1.0,10,13918,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,11,8076,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,12,6821,1,0.4714045207910316,0.0,0.0
150,30000,0.8,1.0,13,13658,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,14,18577,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,15,14638,1,0.7453559924999239,1.0,0.0
150,30000,0.8,1.0,16,28214,1,0.5480079817768907,0.6933333333333334,0.30666666666666664
150,30000,0.8,1.0,17,17552,1,0.7453559924999239,0.0,1.0
150,30000,0.8,1.0,18,30001,0,0.2895513302359933,0.6066666666666667,0.02666666666666667
150,30000,0.8,1.0,19,30001,0,0.38396541430872744,0.4066666666666667,0.54
150,30000,1.0,0.1,0,22919,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.1,1,26284,1,0.70195430268706,0.0,1.0
150,30000,1.0,0.1,2,14626,1,0.3589096499023564,0.0,0.5533333333333333
150,30000,1.0,0.1,3,16355,1,0.34959181444615317,0.0,0.16
150,30000,1.0,0.1,4,3042,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.1,5,4779,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.1,6,20579,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.1,7,12251,1,0.3878251370345557,0.5133333333333333,0.4866666666666667
150,30000,1.0,0.1,8,22246,1,0.6377277998841796,0.8866666666666667,0.11333333333333333
150,30000,1.0,0.1,9,4021,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,10,5643,1,0.29232286652321265,0.6733333333333333,0.32666666666666666
150,30000,1.0,0.1,11,4576,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,12,8618,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,13,17296,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,14,3866,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.1,15,8908,1,0.3407486614390603,0.0,0.30666666666666664
150,30000,1.0,0.1,16,10875,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.1,17,4464,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,18,15818,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.1,19,10194,1,0.37639684210499325,0.0,0.14666666666666667
150,30000,1.0,0.5,0,7779,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,1,13345,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,2,19557,1,0.4082359332150886,0.0,0.08
150,30000,1.0,0.5,3,16443,1,0.7081794405176448,1.0,0.0
150,30000,1.0,0.5,4,4436,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,5,5438,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,6,5581,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,7,12439,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,8,10871,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,9,3764,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,10,7548,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,11,11827,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,12,4792,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,13,3199,1,0.4599862234559866,0.0,0.0
150,30000,1.0,0.5,14,15329,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,15,7989,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,16,8863,1,0.4714045207910316,0.0,0.0
150,30000,1.0,0.5,17,15737,1,0.7453559924999239,1.0,0.0
150,30000,1.0,0.5,18,11867,1,0.7453559924999239,0.0,1.0
150,30000,1.0,0.5,19,5390,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,0,6138,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,1,17938,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,2,12749,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,3,12405,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,4,14498,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,5,27043,1,0.44955644011711304,0.0,0.10666666666666667
150,30000,1.0,1.0,6,10111,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,7,7121,1,0.7453559924999239,1.0,0.0
150,30000,1.0,1.0,8,5263,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,9,24486,1,0.6121342104571988,0.9933333333333333,0.0
150,30000,1.0,1.0,10,11122,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,11,16338,1,0.4696686913604934,0.0,0.0
150,30000,1.0,1.0,12,14175,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,13,11123,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,14,5664,1,0.7453559924999239,1.0,0.0
150,30000,1.0,1.0,15,12722,1,0.4714045207910316,0.0,0.0
150,30000,1.0,1.0,16,16297,1,0.7453559924999239,0.0,1.0
150,30000,1.0,1.0,17,5378,1,0.7453559924999239,1.0,0.0
150,30000,1.0,1.0,18,18358,1,0.697581070061629,0.0,1.0
150,30000,1.0,1.0,19,7202,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,0,22919,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.1,1,14175,1,0.6202820099175335,0.9533333333333334,0.0
150,30000,1.2,0.1,2,11453,1,0.5437237729859611,0.0,0.94
150,30000,1.2,0.1,3,16355,1,0.3495956380391307,0.0,0.16
150,30000,1.2,0.1,4,3042,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.1,5,9005,1,0.3732293275033402,0.0,0.3333333333333333
150,30000,1.2,0.1,6,21326,1,0.4705649527999174,0.0,0.0
150,30000,1.2,0.1,7,12251,1,0.45429115635503997,0.22,0.78
150,30000,1.2,0.1,8,22246,1,0.6377277998841796,0.8866666666666667,0.11333333333333333
150,30000,1.2,0.1,9,4021,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,10,5643,1,0.29244114452893144,0.6666666666666666,0.3333333333333333
150,30000,1.2,0.1,11,4576,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,12,8618,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,13,17296,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,14,3866,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.1,15,8908,1,0.49803661758791185,0.0,0.7
150,30000,1.2,0.1,16,10875,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.1,17,4464,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,18,15819,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.1,19,10194,1,0.37653305427312733,0.0,0.14666666666666667
150,30000,1.2,0.5,0,7688,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,1,21001,1,0.37422348851637127,0.0,0.16666666666666666
150,30000,1.2,0.5,2,12469,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,3,12000,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.5,4,16822,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,5,18558,1,0.3253774692830999,0.21333333333333335,0.7866666666666666
150,30000,1.2,0.5,6,4473,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.5,7,2848,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,8,13470,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,9,13038,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,10,7546,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.5,11,21324,1,0.7154448895274722,1.0,0.0
150,30000,1.2,0.5,12,6163,1,0.7453559924999239,1.0,0.0
150,30000,1.2,0.5,13,3199,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,14,7869,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.5,15,11500,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,16,8913,1,0.4714045207910316,0.0,0.0
150,30000,1.2,0.5,17,15673,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.5,18,6751,1,0.7453559924999239,0.0,1.0
150,30000,1.2,0.5,19,6367,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,0,10836,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,1,18215,1,0.7453559924999239,0.0,1.0
150,30000,1.2,1.0,2,17712,1,0.7453559924999239,0.0,1.0
150,30000,1.2,1.0,3,25231,1,0.43194830344129387,0.0,0.0
150,30000,1.2,1.0,4,30001,0,0.2618252137083998,0.16,0.6333333333333333
150,30000,1.2,1.0,5,11931,1,0.4714045207910316,0.0,0.0
150,30000,1.2,1.0,6,24002,1,0.42113434032431835,0.0,0.0
150,30000,1.2,1.0,7,5069,1,0.4714045207910316,0.0,0.0
150,30000,1.2,1.0,8,3367,1,0.7453559924999239,0.0,1.0
150,30000,1.2,1.0,9,6663,1,0.4714045207910316,0.0,0.0
150,30000,1.2,1.0,10,12973,1,0.4714045207910316,0.0,0.0
150,30000,1.2,1.0,11,12050,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,12,7876,1,0.4714045207910316,0.0,0.0
150,30000,1.2,1.0,13,6878,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,14,5336,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,15,8791,1,0.7453559924999239,0.0,1.0
150,30000,1.2,1.0,16,14003,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,17,4100,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,18,4483,1,0.7453559924999239,1.0,0.0
150,30000,1.2,1.0,19,18388,1,0.7453559924999239,0.0,1.0
